trocken
wiederholen
stützen
nagen
retten
stinken
tanken
handeln
dichten
erlauben
verhehlen
hauen
füllen
sich anziehen
walten
stellen
schalten
erfahren
rücken
öffnen
wehren
wachen
spielen
meinen
fressen
dienen
dämpfen
beben
gießen
springen
rennen
lächeln
sitzen
schleifen
nennen
antworten
greifen
trotzen
träumen
stehlen
töten
unterbrechen
verrecken
erzähelen
schlagen
reißen
sich interessieren
baden
lecken
frühstücken
brauchen
klingen
preisen
achten
küssen
geraten
wühlen
sich erkälten
plagen
wollen
verhandeln
verstehen
decken
mögen
vergewaltigen
finden
brennen
bauen
beschuldigen
glimmen
scheiden
entstellen
fliegen
graben
taugen
erwähnen
denken
gelten
schleichen
abholen
bellen
üben
studieren
pflanzen
nähren
schmerzen
singen
weisen
klatschen
kratzen
heben
locken
sich genieren
versprechen
erwägen
verkommen
hören
sparen
schwanken
beeinflussen
loben
stürzen
sich gewöhnen
rechnen
schwimmen
zeigen
rühren
krächzen
beten
entfernen
geliebt
ersticken
stören
ankommen
betrügen
warten
arbeiten
berichten
saugen
reichen
verstricken
weihen
necken
errichten
heizen
schieben
schenken
passen
leuchten
bekehren
verdrießen
kauen
schwatzen
hetzen
leihen
sich setzen
wohnen
entshuldigen
packen
vermehren
verwalten
streiten
bluten
feststellen
schwellen
reiten
kochen
drucken
befehlen
nehmen
schneiden
trauen
führen
empfangen
schaffen
pachten
brausen
malen
werfen
sagen
liefern
wachen
schießen
sichten
beleben
beleidigen
wiederholen
brüllen
bejahen
knüpfen
rächen
binden
saufen
vorstellen
halten
schmieren
schmelzen
segnen
reisen
schlucken
stechen
fallen
lügen
lehren
rüsten
wetzen
treiben
lesen
schlüpfen
interpretieren
gelingen
schmeißen
fechten
strecken
leben
sprechen
mieten
verklagen
tropfen
verraten
erinnern
währen
schlafen
gewinnen
siegen
schaden
gären
gebären
sprühen
bedeuten
fließen
vorkommen
erklären
dringen
müssen
verdichten
seufzen
sich freuen
sterben
widmen
besitzen
zeichnen
lauschen
können
weichen
kosten
wandern
spalten
buchen
rufen
legen
atmen
verweilen
werben
gehören
wählen
entkommen
bleiben
schreiten
kühlen
schreiben
toben
tragen
bringen
scheinen
sprengen
fluchen
quellen
gehen
schneinen
lernen
augsgeben
bewegen
begleiten
streichen
kaufen
schreien
besuchen
sich beeilen
entbehren
sinken
riechen
stattfinden
gleiten
verführen
behalten
schwören
sich verhalten
bekommen
schlachten
schichten
laufen
blitzen
stricken
blasen
klopfen
nützen
glühen
gebeihen
schwänzen
aufmachen
lichten
verachten
waschen
merken
raten
meiden
sehen
helfen
landen
wagen
anfangen
streben
vereinigen
nicken
verkaufen
klagen
danken
ziehen
fangen
hüpfen
enthalten
sprießen
sich unterhalten
überraschen
ruhen
leiden
zwingen
schnüren
stutzen
rauchen
liegen
kotzen
sein
schwingen
braten
rollen
fühlen
staunen
schelten
schweben
sinnen
dürfen
begegnen
wissen
gähnen
entführen
schmecken
bestellen
bersten
einkaufen
sollen
ringen
suchen
kürzen
treten
wiegen
grollen
erschöpfen
verzehren
laden
schlichten
frieren
stopfen
dhren
bezeichnen
regnen
biegen
befreien
ächzen
schweigen
verlieren
genesen
schauen
zerstören
hoffen
tanzen
glauben
lachen
fahren
empfehlen
fassen
bewegen
fliehen
wechseln
quälen
kennenlernen
lösen
schwitzen
kriechen
gefallen
kommen
spüren
erhalten
beginnen
trösten
tun
entgegnen
stahlen
naschen
brechen
donnern
hassen
spülen
weinen
gebrauchen
bilden
kleben
lutschen
schlingen
auskommen
verrichten
räumen
schätzen
gucken
spinnen
spritzen
wenden
spucken
flogen
kehren
geschehen
erreichen
versuchen
erschrecken
stecken
rühmen
ausstellen
stoßen
verkehren
würzen
lieben
fragen
fürchten
stöhnen
bezahlen
schöpfen
sich verlieben
pfeifen
versagen
verwechseln
schäumen
verdienen
bieten
essen
genießen
sieden
geben
bestehen
werden
treffen
schicken
gleichen
verderben
beeindrucken
bergen
wälzen
mahlen
kriegen
senden
schließen
säumen
sich bedienen
steigen
backen
zahlen
trinken
brauen
drücken
unstellen
lohnen
beweisen
bitten
haben
passieren
messen
kennen
heißen
erfinden
wünschen
ändern
kneifen
verzeihen
vernichten
schmollen
spazieren
entscheiden
hängen
blicken
glotzen
blühen
rösten
reinigen
schwärzen
vergessen
büsten
reizen
machen
glänzen
heiraten
rinnen
sich ausziehen
schwinden
aufhalten
reiben
beißen
stehen
versehren
kämpfen
beschäftigen
wecken
verklären
überwinden
erlöschen
putzen
sich befinden
richten
lassen
rauschen
